date,attendances
2010-08-01,1752381
2010-09-01,1756268
2010-10-01,1801348
2010-11-01,1651027
2010-12-01,1737741
2011-01-01,1727797
2011-02-01,1599364
2011-03-01,1863441
2011-04-01,1844375
2011-05-01,1873695
2011-06-01,1785417
2011-07-01,1864959
2011-08-01,1758108
2011-09-01,1781211
2011-10-01,1848912
2011-11-01,1741441
2011-12-01,1732046
2012-01-01,1737518
2012-02-01,1704232
2012-03-01,1933153
2012-04-01,1769523
2012-05-01,1929570
2012-06-01,1887841
2012-07-01,1924523
2012-08-01,1845142
2012-09-01,1788491
2012-10-01,1832304
2012-11-01,1755605
2012-12-01,1822426
2013-01-01,1733118
2013-02-01,1648748
2013-03-01,1865084
2013-04-01,1831420
2013-05-01,1891670
2013-06-01,1831036
2013-07-01,1976289
2013-08-01,1840591
2013-09-01,1768749
2013-10-01,1829429
2013-11-01,1733037
2013-12-01,1782029
2014-01-01,1739539
2014-02-01,1661814
2014-03-01,1957341
2014-04-01,1877676
2014-05-01,1978028
2014-06-01,1942268
2014-07-01,1993631
2014-08-01,1817310
2014-09-01,1853286
2014-10-01,1892374
2014-11-01,1830460
2014-12-01,1901227
2015-01-01,1732067
2015-02-01,1654846
2015-03-01,1942967
2015-04-01,1873168
2015-05-01,1937469
2015-06-01,1911209
2015-07-01,1952895
2015-08-01,1865139
2015-09-01,1859979
2015-10-01,1923108
2015-11-01,1874235
2015-12-01,1867652
2016-01-01,1906920
2016-02-01,1870776
2016-03-01,2087553
2016-04-01,1867781
2016-05-01,2070340
2016-06-01,1958802
2016-07-01,2079034
2016-08-01,1932901
2016-09-01,1952464
2016-10-01,2001816
2016-11-01,1907871
2016-12-01,1944567
2017-01-01,1895272
2017-02-01,1735619
2017-03-01,2015834
2017-04-01,1949762
2017-05-01,2066789
2017-06-01,1994056
2017-07-01,2073944
2017-08-01,1924663
2017-09-01,1925961
2017-10-01,2044137
2017-11-01,1976971
2017-12-01,2003954
2018-01-01,2000086
2018-02-01,1820012
2018-03-01,2049785
2018-04-01,1984369
2018-05-01,2164458
2018-06-01,2093942
2018-07-01,2179896
2018-08-01,1997854
2018-09-01,2005695
2018-10-01,2079492
2018-11-01,2037847
2018-12-01,2047518
2019-01-01,2113413
2019-02-01,1954947
2019-03-01,2167551
2019-04-01,2112165
2019-05-01,2172006
2019-06-01,2107987
2019-07-01,2265050
2019-08-01,2125435
2019-09-01,2123345
2019-10-01,2170885
2019-11-01,2143505
2019-12-01,2180537
2020-01-01,2114709
2020-02-01,1969691
2020-03-01,1531801
2020-04-01,916575
2020-05-01,1261837
2020-06-01,1410602
2020-07-01,1588286
2020-08-01,1719003
2020-09-01,1693880
2020-10-01,1599347
2020-11-01,1485176
2020-12-01,1474674
2021-01-01,1310806
2021-02-01,1278091
2021-03-01,1691282
2021-04-01,1866232
2021-05-01,2075542
2021-06-01,2157132
2021-07-01,2160128
2021-08-01,2035967
2021-09-01,2127204
2021-10-01,2164802
2021-11-01,2037955
2021-12-01,1874642
2022-01-01,1875202
2022-02-01,1825363
2022-03-01,2174798
2022-04-01,2028796
2022-05-01,2233053
2022-06-01,2191691
2022-07-01,2181655
2022-08-01,1995679
2022-09-01,2008489
2022-10-01,2188028
2022-11-01,2178804
2022-12-01,2294079
2023-01-01,1968338
2023-02-01,1914279
2023-03-01,2165951
2023-04-01,2034040
2023-05-01,2245919
2023-06-01,2225726
2023-07-01,2199787
2023-08-01,2109861
2023-09-01,2170046
2023-10-01,2224320
2023-11-01,2167584
2023-12-01,2184918
2024-01-01,2230825
2024-02-01,2157822
2024-03-01,2370221
2024-04-01,2240668
2024-05-01,2416292
2024-06-01,2294065
2024-07-01,2324832
2024-08-01,2160791
2024-09-01,2214217
2024-10-01,2360536
2024-11-01,2314998
2024-12-01,2345934
2025-01-01,2218130
2025-02-01,2088071
2025-03-01,2389064
2025-04-01,2295820
2025-05-01,2395886
2025-06-01,2350478
2025-07-01,2407884
